Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Repaired?,Final?,FetchDate
2015-01-02 00:00:00-05:00,156.8958160140206,157.25223446285497,155.21322144335144,156.1581268310547,1865000,0.0,0.0,0.0,False,True,2025-11-05 21:10:53.103435+00:00
2015-01-05 00:00:00-05:00,155.21321637957138,155.33755368684137,153.0581755090948,153.41458129882812,2734700,0.0,0.0,0.0,False,True,2025-11-05 21:10:53.103435+00:00
2015-01-06 00:00:00-05:00,153.6466909509608,154.06942016768986,151.15181201727177,151.9060821533203,2245300,0.0,0.0,0.0,False,True,2025-11-05 21:10:53.103435+00:00
2015-01-07 00:00:00-05:00,153.11619412647107,154.0942611873664,152.70176171790786,153.8041534423828,2305600,0.0,0.0,0.0,False,True,2025-11-05 21:10:53.103435+00:00
2015-01-08 00:00:00-05:00,155.10545745915692,156.69687618701676,155.05572760007877,156.50624084472656,1740600,0.0,0.0,0.0,False,True,2025-11-05 21:10:53.103435+00:00
2015-01-09 00:00:00-05:00,156.90411071588449,156.937259743323,154.7076113857527,155.1883544921875,2525200,0.0,0.0,0.0,False,True,2025-11-05 21:10:53.103435+00:00
2015-01-12 00:00:00-05:00,155.3790400556324,155.49508065092138,153.49751294507635,154.03627014160156,1847500,0.0,0.0,0.0,False,True,2025-11-05 21:10:53.103435+00:00
2015-01-13 00:00:00-05:00,155.18010039685282,156.1664517328526,152.4282626309551,153.630126953125,2158500,0.0,0.0,0.0,False,True,2025-11-05 21:10:53.103435+00:00
2015-01-14 00:00:00-05:00,151.76518030444055,152.84269464205306,150.94459943516694,152.72665405273438,5216300,0.0,0.0,0.0,False,True,2025-11-05 21:10:53.103435+00:00
2015-01-15 00:00:00-05:00,153.2405483715349,153.54722434056976,151.18495429172492,151.30099487304688,1940700,0.0,0.0,0.0,False,True,2025-11-05 21:10:53.103435+00:00
2015-01-16 00:00:00-05:00,151.11034685027997,153.4063059967541,150.92799557381062,153.17422485351562,1472800,0.0,0.0,0.0,False,True,2025-11-05 21:10:53.103435+00:00
2015-01-20 00:00:00-05:00,153.85387277667107,154.08595389778287,152.16299423036043,153.55548095703125,1637600,0.0,0.0,0.0,False,True,2025-11-05 21:10:53.103435+00:00
2015-01-21 00:00:00-05:00,153.1493917533931,154.7822568382433,152.75982418609524,154.35952758789062,1586500,0.0,0.0,0.0,False,True,2025-11-05 21:10:53.103435+00:00
2015-01-22 00:00:00-05:00,155.072310496565,156.77976994004845,153.8373100540798,156.7217559814453,6074900,0.0,0.0,0.0,False,True,2025-11-05 21:10:53.103435+00:00
2015-01-23 00:00:00-05:00,156.42339120097407,156.6720532104222,155.6525402364323,155.85975646972656,3109800,0.0,0.0,0.0,False,True,2025-11-05 21:10:53.103435+00:00
2015-01-26 00:00:00-05:00,155.65249239383155,156.24927597408487,154.9396682644996,156.16639709472656,2018000,0.0,0.0,0.0,False,True,2025-11-05 21:10:53.103435+00:00
