Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Repaired?,Final?,FetchDate
2015-01-02 00:00:00-05:00,171.88489740445155,172.30132557902704,170.05260326961601,171.0936737060547,121465900,0.0,0.0,0.0,False,True,2025-11-05 20:46:37.558656+00:00
2015-01-05 00:00:00-05:00,170.0442796984389,170.210848427002,167.69563139642682,168.0037841796875,169632600,0.0,0.0,0.0,False,True,2025-11-05 20:46:37.558656+00:00
2015-01-06 00:00:00-05:00,168.31194633238277,168.83664992952563,165.6218237266185,166.42137145996094,209151400,0.0,0.0,0.0,False,True,2025-11-05 20:46:37.558656+00:00
2015-01-07 00:00:00-05:00,167.75390614299067,168.83662182123857,167.30416935487003,168.49514770507812,125346700,0.0,0.0,0.0,False,True,2025-11-05 20:46:37.558656+00:00
2015-01-08 00:00:00-05:00,169.9110397575839,171.70168874977625,169.89439177862124,171.48513793945312,147217800,0.0,0.0,0.0,False,True,2025-11-05 20:46:37.558656+00:00
2015-01-09 00:00:00-05:00,171.90156769625287,171.91822838374486,169.4946130430907,170.11093139648438,158567300,0.0,0.0,0.0,False,True,2025-11-05 20:46:37.558656+00:00
2015-01-12 00:00:00-05:00,170.24418628348926,170.40243103888076,168.1703691931777,168.77835083007812,144396100,0.0,0.0,0.0,False,True,2025-11-05 20:46:37.558656+00:00
2015-01-13 00:00:00-05:00,170.0026716398805,171.1353570343657,166.99605904404427,168.30364990234375,214553300,0.0,0.0,0.0,False,True,2025-11-05 20:46:37.558656+00:00
2015-01-14 00:00:00-05:00,166.2797747877634,167.4874267316431,165.3803010612415,167.28753662109375,192991100,0.0,0.0,0.0,False,True,2025-11-05 20:46:37.558656+00:00
2015-01-15 00:00:00-05:00,167.92883684831304,168.2453136326774,165.63848179128044,165.7550811767578,176613900,0.0,0.0,0.0,False,True,2025-11-05 20:46:37.558656+00:00
2015-01-16 00:00:00-05:00,165.5468783369909,168.0870930237335,165.36364890329924,167.92884826660156,211879600,0.0,0.0,0.0,False,True,2025-11-05 20:46:37.558656+00:00
2015-01-20 00:00:00-05:00,168.57017075746597,168.8366909694912,166.71290409780426,168.28700256347656,130991100,0.0,0.0,0.0,False,True,2025-11-05 20:46:37.558656+00:00
2015-01-21 00:00:00-05:00,167.82057514844598,169.61954813553254,167.35417756847113,169.13648986816406,122942700,0.0,0.0,0.0,False,True,2025-11-05 20:46:37.558656+00:00
2015-01-22 00:00:00-05:00,169.89437543243324,171.78495024164462,168.5118308087013,171.65170288085938,174356000,0.0,0.0,0.0,False,True,2025-11-05 20:46:37.558656+00:00
2015-01-23 00:00:00-05:00,171.39347626489396,171.65167236864735,170.57728072600727,170.71054077148438,117516800,0.0,0.0,0.0,False,True,2025-11-05 20:46:37.558656+00:00
2015-01-26 00:00:00-05:00,170.49406113947404,171.20198154539423,169.77780403511954,171.11036682128906,92009700,0.0,0.0,0.0,False,True,2025-11-05 20:46:37.558656+00:00
2015-01-27 00:00:00-05:00,169.04484012917385,170.002619767601,168.0204304633567,168.85328674316406,134044600,0.0,0.0,0.0,False,True,2025-11-05 20:46:37.558656+00:00
